variable,mean,minimum,median,maximum,count
annual_gdp_growth,0.10634811222553253,-0.4856182336807251,0.10456876456737518,2.0222668647766113,5640
average_relative_growth,0.00040461018215864897,-0.5881695747375488,-0.0002796053886413574,1.6203848123550415,5640
log_gdp,6.367692947387695,1.1762830018997192,6.397563934326172,10.020828247070312,5640
log_population,5.735795021057129,2.0028305053710938,5.851785659790039,7.269150257110596,5636
promotion,0.1806737631559372,0.0,0.0,1.0,5640
age,49.966583251953125,26.0,50.0,61.0,5566
sex,0.06549815498154982,0.0,0.0,1.0,5420
education,2.8378682136535645,1.0,3.0,4.0,5329
tenure,2.5627660751342773,1.0,2.0,14.0,5640
arrested,0.05960264801979065,0.0,0.0,1.0,5285
home_prefecture,0.10586757212877274,0.0,0.0,1.0,5573
political_connection,0.7276119589805603,0.0,1.0,1.0,5628
